user_id,email_hash,registration_date,country_code,age_group,account_tier,kyc_status,account_status,last_login_date,total_deposits,total_withdrawals,current_balance,is_copy_trader,referral_code
USR_BE5FDEC2,email_000001@domain.com,2023-08-02,US,65+,Gold,Verified,Inactive,2023-09-28,7062.94,3074.86,18516.69,True,REF_719176
USR_A610E663,email_000002@domain.com,2022-05-14,US,18-25,Silver,Verified,Active,2022-05-30,28106.13,21480.59,17533.12,False,REF_331148
USR_1D8ACAA6,email_000003@domain.com,2022-07-08,IT,18-25,Silver,Rejected,Pending,2023-05-05,17078.5,4664.38,23930.33,False,REF_207175
USR_8361A989,email_000004@domain.com,2020-07-08,UK,36-45,Gold,Rejected,Suspended,2021-01-18,40375.7,21891.95,13405.7,False,REF_182627
USR_EA07822F,email_000005@domain.com,2023-02-04,NL,56-65,Gold,Rejected,Inactive,2023-07-04,35258.13,1374.73,5697.46,False,REF_183667
USR_7818F17C,email_000006@domain.com,2024-10-17,UK,46-55,Gold,Pending,Suspended,2025-02-13,8216.44,10658.12,16754.38,True,REF_738720
USR_A71D62B4,email_000007@domain.com,2023-07-24,JP,65+,Silver,Verified,Pending,2023-10-19,19034.83,29685.7,15999.99,True,REF_817870
USR_5B4F1C84,email_000008@domain.com,2021-10-26,FR,18-25,Gold,Pending,Suspended,2021-11-23,3402.81,27394.08,14179.5,False,REF_322955
USR_01C9022F,email_000009@domain.com,2023-09-04,AU,65+,Platinum,Verified,Suspended,2024-05-16,7067.55,22349.67,13474.43,False,REF_711878
USR_2BB9076A,email_000010@domain.com,2022-03-28,FR,26-35,Diamond,Pending,Active,2022-09-29,37813.53,25833.09,3821.03,True,REF_930555
USR_7B822556,email_000011@domain.com,2023-10-25,SG,18-25,Platinum,Pending,Pending,2024-05-28,26502.81,29132.35,21519.49,True,REF_813328
USR_B520859B,email_000012@domain.com,2024-01-16,NL,56-65,Gold,Rejected,Suspended,2024-03-14,5666.45,13042.96,11343.09,False,REF_624902
USR_71938448,email_000013@domain.com,2024-04-09,JP,18-25,Gold,Rejected,Inactive,2024-07-09,7726.68,22875.32,13484.48,True,REF_728038
